Evaluation of a Population with size 30, on Track "Track6", using the following GA operators: 
Selection: DefaultSelectionOperator
Recombination: RandomRecombination
Mutation: MutateAllButBestTwo
FitnessCalculation: DefaultFitnessCalculation

1	0,1064553; 1	0,03496806; 1	0,02989447; 1	0,02423066; 1	0,02114436; 1	0,0206016; 1	0,01344659; 1	0,01269621; 1	0,01142487; 1	0,01015886; 1	0,008283407; 1	0,007662748; 1	0,006375746; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 
29	1; 29	1; 29	1; 29	1; 29	1; 29	1; 29	1; 29	1; 29	1; 29	1; 29	1; 29	1; 29	1; 29	0,8518561; 29	0,8518561; 29	0,8518561; 29	0,8518561; 29	0,7714269; 29	0,5496908; 29	0,5395572; 29	0,2688565; 29	0,2653285; 29	0,2382566; 29	0,2381456; 29	0,03501134; 29	0,02578915; 29	0,02118691; 29	0,008696423; 29	0,008602228; 29	0; 
30	1; 30	1; 30	1; 30	1; 30	1; 30	1; 30	1; 30	1; 30	1; 30	0,5171021; 30	0,4303554; 30	0,4303554; 30	0,4303554; 30	0,3327342; 30	0,3029823; 30	0,2943133; 30	0,2586936; 30	0,2548331; 30	0,2463591; 30	0,2442457; 30	0,2363333; 30	0,2320855; 30	0,2245166; 30	0,1804179; 30	0,01551683; 30	0,01385946; 30	0,001718375; 30	0; 30	0; 30	0; 
31	1; 31	1; 31	1; 31	1; 31	1; 31	1; 31	1; 31	1; 31	0,8518561; 31	0,8518561; 31	0,8038905; 31	0,7953079; 31	0,7839395; 31	0,7737716; 31	0,5574393; 31	0,2429222; 31	0,2245166; 31	0,1997441; 31	0,02473446; 31	0,02188313; 31	0,0212339; 31	0,01680451; 31	0,01220826; 31	0,01039857; 31	0,0089382; 31	0,008371081; 31	0,006467201; 31	0; 31	0; 31	0; 
32	1; 32	1; 32	1; 32	1; 32	1; 32	1; 32	1; 32	1; 32	1; 32	0,8518561; 32	0,795912; 32	0,545446; 32	0,4303554; 32	0,2917339; 32	0,2376738; 32	0,2336312; 32	0,2334709; 32	0,2245166; 32	0,2041906; 32	0,2024869; 32	0,2007819; 32	0,1817697; 32	0,08496648; 32	0,02683576; 32	0,02563312; 32	0,01892805; 32	0,01614428; 32	0,009339655; 32	0,007119329; 32	0; 
33	1; 33	1; 33	1; 33	1; 33	1; 33	1; 33	0,8518561; 33	0,8518561; 33	0,8518561; 33	0,8518561; 33	0,8518561; 33	0,8346492; 33	0,3293064; 33	0,2673357; 33	0,2650332; 33	0,2441195; 33	0,2411432; 33	0,2392988; 33	0,238035; 33	0,2353066; 33	0,2301986; 33	0,186613; 33	0,02914472; 33	0,0142723; 33	0,009005977; 33	0,008213445; 33	0; 33	0; 33	0; 33	0; 
34	1; 34	1; 34	1; 34	1; 34	1; 34	1; 34	1; 34	1; 34	1; 34	0,5171021; 34	0,3230262; 34	0,2940924; 34	0,2917339; 34	0,2917339; 34	0,2586843; 34	0,2506199; 34	0,250439; 34	0,2359122; 34	0,2245166; 34	0,1922661; 34	0,1865212; 34	0,1815535; 34	0,08536869; 34	0,05519714; 34	0,01606257; 34	0,006951727; 34	0,006582791; 34	0; 34	0; 34	0; 
35	1; 35	1; 35	1; 35	1; 35	1; 35	1; 35	1; 35	1; 35	0,8518561; 35	0,5171021; 35	0,5171021; 35	0,2593317; 35	0,251868; 35	0,2466197; 35	0,2281748; 35	0,2245166; 35	0,2245166; 35	0,2245166; 35	0,2245166; 35	0,2020658; 35	0,1887128; 35	0,08555035; 35	0,005308096; 35	0; 35	0; 35	0; 35	0; 35	0; 35	0; 35	0; 
36	1; 36	1; 36	1; 36	1; 36	1; 36	1; 36	1; 36	0,9306639; 36	0,8518561; 36	0,8518561; 36	0,5455869; 36	0,4303554; 36	0,4303554; 36	0,2741037; 36	0,2727105; 36	0,2572101; 36	0,2562118; 36	0,2534055; 36	0,2518638; 36	0,2388584; 36	0,2376071; 36	0,2361796; 36	0,2249936; 36	0,2245166; 36	0,2245166; 36	0,2054237; 36	0,1807357; 36	0,06006379; 36	0,05519714; 36	0; 
37	1; 37	1; 37	1; 37	1; 37	1; 37	1; 37	1; 37	1; 37	1; 37	0,7438031; 37	0,567471; 37	0,5469762; 37	0,2917339; 37	0,2650514; 37	0,2631789; 37	0,2558424; 37	0,2480406; 37	0,2271694; 37	0,2245166; 37	0,1908576; 37	0,08643539; 37	0,03265456; 37	0,0143931; 37	0,01406379; 37	0,008714159; 37	0; 37	0; 37	0; 37	0; 37	0; 
38	1; 38	1; 38	1; 38	1; 38	1; 38	1; 38	1; 38	1; 38	1; 38	1; 38	1; 38	0,8804129; 38	0,8518561; 38	0,8518561; 38	0,8518561; 38	0,5727687; 38	0,3365408; 38	0,2644443; 38	0,2550235; 38	0,254733; 38	0,2381915; 38	0,2245166; 38	0,2245166; 38	0,06184717; 38	0,007000216; 38	0,006653856; 38	0,005649992; 38	0,005137755; 38	0; 38	0; 
